section,placeholder_text_verbatim,category,notes
Abstract,"[N storms / N forecast cycles]",A,evaluation corpus size
Abstract,"[X%] empirical P90 coverage",B,RQ1 primary endpoint
Abstract,"[H]-h lead time",A,fixed by protocol = 48h for RQ1/RQ3 primary; appears twice
Abstract,"[Y%] ... relative to [NAMED BASELINE]",B,RQ1 area reduction; baseline name is a Category A pre-spec choice (O2)
Abstract,"[Z%] relative to ... [deterministic baseline: ensemble-mean track / control member]",B,RQ2 primary improvement
Abstract,"nDCG@10 = [R] at [H]-h lead time",B,RQ3 headline
IV-A,"[ENSEMBLE SOURCE]",A,e.g. GenCast/ECMWF EPS/operational multi-model -- MISSING DATA
IV-A,"[N] tropical cyclones",A,MISSING DATA
IV-A,"[BASIN(S)]",A,MISSING DATA
IV-A,"[YEARS]",A,MISSING DATA
IV-A,"[C] forecast cycles",A,MISSING DATA
IV-A,"up to [M] members each",A,M_full -- MISSING DATA
IV-A,"[IBTrACS / HURDAT2 / JTWC] best-track data",A,MISSING DATA
III-C(b),"r0 = [VALUE] km",A,fixed-radius parameter -- must be fixed BEFORE analysis
III-D,"impact radius r = [VALUE] km",A,must be fixed BEFORE analysis; same r used forecast+realized
III-C(c),"pre-specified base buffer b",A,value not yet given in manuscript text -- needed
IV-D,"J = [number of regions]",A,depends on chosen admin-boundary dataset
IV-E,"N_X (full analysis-grid size)",A,depends on chosen spatial resolution/domain
IV-F,"[REPRESENTATION -- O2, fix a priori]",A,RQ1 primary representation choice; MUST be fixed before seeing results
IV-F,"+/-[TOL -- O1, freeze after sample-size audit]",A,calibration tolerance; freeze after seeing n_h only, not after seeing coverage
IV-E,"[uniform subsampling / cropping of the analysis grid]",A,RQ4 spatial-volume-reduction method choice
IV-E,"workstation with [CPU], [RAM] GB memory, running [OS]",A,actual hardware used for RQ4 timing
Table I,"n_h, distinct cyclones, zero-realized-exposure cases, |R_i,h|<3 (x6 horizons)",B,empty table awaiting data
Table II,"AEVW mean [95% CI] x3 estimators x3 horizons + Holm-adjusted p x2 comparisons x3 horizons",B,empty table awaiting data
Table III,"Brier score x3 estimators x6 horizons",B,empty table awaiting data
Table IV,"nDCG@10/@5, Recall@10/@5, Spearman x3 estimators x3 horizons",B,empty table awaiting data
V-B,"[REPRESENTATION (O2)] at 48h: coverage [X] (95% CI [lo,hi]), mean area [A] km2",B,depends on O2 pre-spec + data
V-B,"[Y%] smaller regions than [comparison representation / fixed radius]",B,
V-B,"[direction of miscoverage and horizon dependence] sentence",C,drafted only after seeing coverage curves
V-B,"track error [..] km at 6h to [..] km at 96h",B,
V-B,"consistent with published operational verification for [basin, period]",C,
V-C,"ensemble reduces error by [Z%] at [h]h (Holm-adjusted p=[..]), [consistent/attenuating/growing]",B,RQ2 primary; wording depends on outcome
V-C,"P90 comparison: reduces error by [..] at [h]h OR null-result sentence with [baseline] and [secondary observation]",B/C,exact sentence choice is an interpretive branch fixed only after Holm test result
V-C,"P90 envelope overestimates by factor of [..] at 72h / behavior as observed",B,
V-C,"deterministic track [under/over-estimates with high dispersion] / as observed",C,
V-C,"ensemble ratio remains [nearest unity across horizons] / as observed",C,
