scenario,intervention_family,primary_metric,baseline_value,scenario_value,aggregate_delta_vs_baseline,expected_direction,observed_direction,sequence_consistency,intervention_consistency_rate,assessment,assessment_rationale,source
earlier_evacuation,evacuation_timing,peak_exposure,0.2915,0.2831,-0.008433,decrease,decrease,24/24,1.0,supported,Peak exposure decreases consistently as evacuation lead time increases.,metrics/counterfactual/counterfactual_outcomes_long.csv
earlier_evacuation_24h,evacuation_timing,peak_exposure,0.2915,0.2787,-0.012808,decrease,decrease,24/24,1.0,supported,Peak exposure decreases consistently as evacuation lead time increases.,metrics/counterfactual/counterfactual_outcomes_long.csv
earlier_evacuation_36h,evacuation_timing,peak_exposure,0.2915,0.2754,-0.016142,decrease,decrease,24/24,1.0,supported,Peak exposure decreases consistently as evacuation lead time increases.,metrics/counterfactual/counterfactual_outcomes_long.csv
delayed_evacuation,evacuation_timing,peak_exposure,0.2915,0.2969,0.00545,increase,increase,24/24,1.0,supported,Peak exposure increases consistently under delayed evacuation.,metrics/counterfactual/counterfactual_outcomes_long.csv
intensity_increase,exogenous_storm_perturbation,peak_exposure,0.2915,0.297,0.005554,increase,increase,24/24,1.0,partial,"Exposure sign is consistent, but magnitude is small and hazard-response fidelity remains weak.",metrics/counterfactual/counterfactual_outcomes_long.csv
intensity_decrease,exogenous_storm_perturbation,peak_exposure,0.2915,0.2854,-0.006071,decrease,decrease,24/24,1.0,partial,"Exposure sign is consistent, but magnitude is small and hazard-response fidelity remains weak.",metrics/counterfactual/counterfactual_outcomes_long.csv
road_blockage,infrastructure_failure,peak_exposure,0.2915,0.2902,-0.001271,increase,decrease,0/24,0.0,failure,Peak exposure decreases instead of increasing.,metrics/counterfactual/counterfactual_outcomes_long.csv
shelter_failure,infrastructure_failure,resource_deficit,0.0313,0.0315,0.000192,increase,increase,20/24,0.833333,failure,Resource-deficit sign is only partially consistent and exposure does not show a reliable failure response.,metrics/counterfactual/counterfactual_outcomes_long.csv
hospital_failure,infrastructure_failure,infra_damage_final,0.08,0.08,-7.9e-05,increase,decrease,0/24,0.0,failure,Infrastructure damage does not increase reliably after the intervention.,metrics/counterfactual/counterfactual_outcomes_long.csv
additional_emergency_resources,resource_intervention,resource_deficit,0.0313,0.0312,-0.000108,decrease,decrease,21/24,0.875,failure,"Resource-deficit reduction is tiny, so this is treated as approximately null.",metrics/counterfactual/counterfactual_outcomes_long.csv
