scenario,expected_direction,with_branch_state_conditioning_rate,without_branch_state_conditioning_rate,with_branch_state_delta,without_branch_state_delta,ablation_definition,interpretation
earlier_evacuation,decrease,1.0,0.0,-0.008433,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
earlier_evacuation_24h,decrease,1.0,0.0,-0.012808,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
earlier_evacuation_36h,decrease,1.0,0.0,-0.016142,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
delayed_evacuation,increase,1.0,0.0,0.00545,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
intensity_increase,increase,1.0,0.0,0.005554,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
intensity_decrease,decrease,1.0,0.0,-0.006071,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
road_blockage,increase,0.0,0.0,-0.001271,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
shelter_failure,increase,0.833333,0.0,0.000192,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
hospital_failure,increase,0.0,0.0,-7.9e-05,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
additional_emergency_resources,decrease,0.875,0.0,-0.000108,0.0,"all intervention scenarios reuse the baseline warm-up state, so action/branch information is removed",shows whether nonzero intervention response depends on branch-state conditioning
